cord_uid,title,abstract,authors,journal,publish_time,source_x,has_full_text,pdf_json_files,pmc_json_files,url,doi
cord_000000,COVID-19 Research Paper 0: Preventive Clinical,This study investigates COVID-19 symptoms using machine learning. The findings suggest important implications for clinical practice.,"Author 0 Williams, Author 1 Garcia",PLOS ONE,2021-12-11,Research Square,False,,,https://example.com/paper/0,10.1000/000000
cord_000001,COVID-19 Research Paper 1: Virological Epidemiological,This study investigates COVID-19 prevention using laboratory analysis. The findings suggest important implications for vaccine development.,"Author 0 Davis, Author 1 Jones, Author 2 Williams",PNAS,2022-09-18,Elsevier,True,pdf_1.json,pmc_1.json,https://example.com/paper/1,
cord_000002,COVID-19 Research Paper 2: Preventive Preventive,This study investigates COVID-19 transmission using machine learning. The findings suggest important implications for clinical practice.,Author 0 Williams,JAMA,2020-01-11,Elsevier,False,pdf_2.json,pmc_2.json,https://example.com/paper/2,
cord_000003,COVID-19 Research Paper 3: Mathematical Modeling Clinical,This study investigates COVID-19 epidemiology using statistical methods. The findings suggest important implications for treatment protocols.,"Author 0 Jones, Author 1 Jones, Author 2 Garcia, Author 3 Davis",BMJ,2020-11-20,Research Square,False,,pmc_3.json,https://example.com/paper/3,10.1000/000003
cord_000004,COVID-19 Research Paper 4: Therapeutic Clinical,This study investigates COVID-19 transmission using laboratory analysis. The findings suggest important implications for treatment protocols.,Author 0 Miller,Nature,2022-12-04,Research Square,True,pdf_4.json,,https://example.com/paper/4,10.1000/000004
cord_000005,COVID-19 Research Paper 5: Epidemiological Diagnostic,This study investigates COVID-19 diagnosis using laboratory analysis. The findings suggest important implications for treatment protocols.,"Author 0 Williams, Author 1 Smith, Author 2 Garcia, Author 3 Brown, Author 4 Garcia, Author 5 Johnson",Clinical Infectious Diseases,2021-06-05,Elsevier,True,pdf_5.json,,https://example.com/paper/5,10.1000/000005
cord_000006,COVID-19 Research Paper 6: Clinical Epidemiological,This study investigates COVID-19 prevention using epidemiological models. The findings suggest important implications for vaccine development.,"Author 0 Miller, Author 1 Brown, Author 2 Davis, Author 3 Williams, Author 4 Jones, Author 5 Garcia",Nature,2020-09-06,bioRxiv,False,pdf_6.json,,https://example.com/paper/6,10.1000/000006
cord_000007,COVID-19 Research Paper 7: Preventive Diagnostic,This study investigates COVID-19 prevention using epidemiological models. The findings suggest important implications for treatment protocols.,"Author 0 Garcia, Author 1 Johnson, Author 2 Johnson, Author 3 Johnson",BMJ,2021-01-29,WHO,True,pdf_7.json,pmc_7.json,https://example.com/paper/7,10.1000/000007
cord_000008,COVID-19 Research Paper 8: Epidemiological Diagnostic,This study investigates COVID-19 symptoms using epidemiological models. The findings suggest important implications for vaccine development.,Author 0 Williams,NEJM,2020-03-01,medRxiv,False,pdf_8.json,,https://example.com/paper/8,
cord_000009,COVID-19 Research Paper 9: Public Health Clinical,This study investigates COVID-19 epidemiology using epidemiological models. The findings suggest important implications for treatment protocols.,"Author 0 Smith, Author 1 Brown",Emerging Infectious Diseases,2020-02-17,Research Square,False,,,https://example.com/paper/9,
cord_000010,COVID-19 Research Paper 10: Public Health Preventive,This study investigates COVID-19 transmission using machine learning. The findings suggest important implications for treatment protocols.,Author 0 Davis,JAMA,2022-11-26,PubMed Central,True,pdf_10.json,,https://example.com/paper/10,10.1000/000010
cord_000011,COVID-19 Research Paper 11: Virological Epidemiological,This study investigates COVID-19 prevention using machine learning. The findings suggest important implications for clinical practice.,"Author 0 Johnson, Author 1 Smith",The Lancet,2022-11-14,Elsevier,True,,,https://example.com/paper/11,10.1000/000011
cord_000012,COVID-19 Research Paper 12: Mathematical Modeling Virological,This study investigates COVID-19 prevention using epidemiological models. The findings suggest important implications for vaccine development.,"Author 0 Miller, Author 1 Davis, Author 2 Jones, Author 3 Smith, Author 4 Garcia",JAMA,2020-11-08,Elsevier,True,pdf_12.json,pmc_12.json,https://example.com/paper/12,
cord_000013,COVID-19 Research Paper 13: Clinical Clinical,This study investigates COVID-19 symptoms using laboratory analysis. The findings suggest important implications for public health policy.,"Author 0 Johnson, Author 1 Smith",Nature,2021-03-18,WHO,False,,pmc_13.json,https://example.com/paper/13,10.1000/000013
cord_000014,COVID-19 Research Paper 14: Public Health Diagnostic,This study investigates COVID-19 prevention using laboratory analysis. The findings suggest important implications for public health policy.,"Author 0 Davis, Author 1 Johnson",Cell,2022-01-17,medRxiv,True,,pmc_14.json,https://example.com/paper/14,10.1000/000014
cord_000015,COVID-19 Research Paper 15: Public Health Preventive,This study investigates COVID-19 diagnosis using epidemiological models. The findings suggest important implications for public health policy.,"Author 0 Smith, Author 1 Garcia, Author 2 Miller, Author 3 Garcia",Clinical Infectious Diseases,2020-08-23,Elsevier,False,,,https://example.com/paper/15,10.1000/000015
cord_000016,COVID-19 Research Paper 16: Diagnostic Mathematical Modeling,This study investigates COVID-19 treatment using statistical methods. The findings suggest important implications for public health policy.,"Author 0 Smith, Author 1 Jones, Author 2 Smith, Author 3 Johnson, Author 4 Jones, Author 5 Johnson",Journal of Medical Virology,2021-03-20,PubMed Central,False,,pmc_16.json,https://example.com/paper/16,10.1000/000016
cord_000017,COVID-19 Research Paper 17: Therapeutic Diagnostic,This study investigates COVID-19 transmission using epidemiological models. The findings suggest important implications for clinical practice.,"Author 0 Johnson, Author 1 Johnson",Journal of Medical Virology,2020-03-01,PubMed Central,False,,pmc_17.json,https://example.com/paper/17,
cord_000018,COVID-19 Research Paper 18: Public Health Diagnostic,This study investigates COVID-19 prevention using epidemiological models. The findings suggest important implications for vaccine development.,"Author 0 Brown, Author 1 Miller, Author 2 Brown, Author 3 Brown, Author 4 Brown, Author 5 Williams",PNAS,2021-11-01,WHO,False,,,https://example.com/paper/18,
cord_000019,COVID-19 Research Paper 19: Public Health Diagnostic,This study investigates COVID-19 treatment using clinical data. The findings suggest important implications for clinical practice.,"Author 0 Miller, Author 1 Johnson, Author 2 Garcia, Author 3 Davis, Author 4 Miller",Science,2020-10-10,Research Square,True,,pmc_19.json,https://example.com/paper/19,
cord_000020,COVID-19 Research Paper 20: Preventive Clinical,This study investigates COVID-19 symptoms using clinical data. The findings suggest important implications for treatment protocols.,Author 0 Williams,Emerging Infectious Diseases,2021-03-26,Research Square,False,pdf_20.json,,https://example.com/paper/20,10.1000/000020
cord_000021,COVID-19 Research Paper 21: Epidemiological Virological,This study investigates COVID-19 symptoms using machine learning. The findings suggest important implications for clinical practice.,"Author 0 Miller, Author 1 Garcia",,2020-06-19,Research Square,True,,,https://example.com/paper/21,
cord_000022,COVID-19 Research Paper 22: Clinical Epidemiological,This study investigates COVID-19 prevention using epidemiological models. The findings suggest important implications for vaccine development.,"Author 0 Williams, Author 1 Davis, Author 2 Garcia, Author 3 Garcia, Author 4 Garcia, Author 5 Garcia",Emerging Infectious Diseases,2020-09-16,Elsevier,False,pdf_22.json,pmc_22.json,https://example.com/paper/22,
cord_000023,COVID-19 Research Paper 23: Clinical Virological,This study investigates COVID-19 treatment using statistical methods. The findings suggest important implications for treatment protocols.,"Author 0 Miller, Author 1 Garcia, Author 2 Brown, Author 3 Brown",PLOS ONE,2021-07-02,Research Square,True,pdf_23.json,,https://example.com/paper/23,10.1000/000023
cord_000024,COVID-19 Research Paper 24: Preventive Virological,This study investigates COVID-19 diagnosis using laboratory analysis. The findings suggest important implications for vaccine development.,"Author 0 Jones, Author 1 Garcia, Author 2 Davis, Author 3 Davis",Clinical Infectious Diseases,2021-07-14,Elsevier,True,,,https://example.com/paper/24,10.1000/000024
cord_000025,COVID-19 Research Paper 25: Virological Epidemiological,This study investigates COVID-19 treatment using laboratory analysis. The findings suggest important implications for treatment protocols.,"Author 0 Smith, Author 1 Smith, Author 2 Jones, Author 3 Smith",JAMA,2022-09-13,medRxiv,False,,pmc_25.json,https://example.com/paper/25,10.1000/000025
cord_000026,COVID-19 Research Paper 26: Virological Mathematical Modeling,This study investigates COVID-19 prevention using clinical data. The findings suggest important implications for treatment protocols.,"Author 0 Williams, Author 1 Jones, Author 2 Smith, Author 3 Jones, Author 4 Brown",Clinical Infectious Diseases,2021-02-12,Research Square,False,pdf_26.json,pmc_26.json,https://example.com/paper/26,10.1000/000026
cord_000027,COVID-19 Research Paper 27: Preventive Diagnostic,This study investigates COVID-19 treatment using epidemiological models. The findings suggest important implications for vaccine development.,"Author 0 Garcia, Author 1 Smith",Clinical Infectious Diseases,2020-07-07,Elsevier,False,pdf_27.json,,https://example.com/paper/27,10.1000/000027
cord_000028,COVID-19 Research Paper 28: Epidemiological Preventive,This study investigates COVID-19 treatment using statistical methods. The findings suggest important implications for public health policy.,"Author 0 Jones, Author 1 Williams, Author 2 Johnson, Author 3 Smith, Author 4 Davis, Author 5 Garcia",PNAS,2021-12-14,PubMed Central,False,pdf_28.json,pmc_28.json,https://example.com/paper/28,10.1000/000028
cord_000029,COVID-19 Research Paper 29: Epidemiological Therapeutic,This study investigates COVID-19 diagnosis using epidemiological models. The findings suggest important implications for clinical practice.,"Author 0 Williams, Author 1 Jones",Cell,2021-08-25,Research Square,True,,pmc_29.json,https://example.com/paper/29,
cord_000030,COVID-19 Research Paper 30: Mathematical Modeling Preventive,This study investigates COVID-19 transmission using laboratory analysis. The findings suggest important implications for treatment protocols.,"Author 0 Brown, Author 1 Brown, Author 2 Jones",NEJM,2022-08-14,PubMed Central,True,pdf_30.json,,https://example.com/paper/30,10.1000/000030
cord_000031,COVID-19 Research Paper 31: Diagnostic Preventive,This study investigates COVID-19 treatment using epidemiological models. The findings suggest important implications for clinical practice.,"Author 0 Johnson, Author 1 Miller, Author 2 Brown",Nature Medicine,2022-10-12,Research Square,False,pdf_31.json,pmc_31.json,https://example.com/paper/31,
cord_000032,COVID-19 Research Paper 32: Public Health Public Health,This study investigates COVID-19 treatment using epidemiological models. The findings suggest important implications for treatment protocols.,"Author 0 Johnson, Author 1 Garcia, Author 2 Davis, Author 3 Williams, Author 4 Davis, Author 5 Johnson",NEJM,2022-06-12,medRxiv,False,,,https://example.com/paper/32,
cord_000033,COVID-19 Research Paper 33: Epidemiological Clinical,This study investigates COVID-19 diagnosis using epidemiological models. The findings suggest important implications for treatment protocols.,"Author 0 Jones, Author 1 Smith, Author 2 Miller, Author 3 Johnson, Author 4 Smith",BMJ,2022-11-15,Elsevier,True,pdf_33.json,,https://example.com/paper/33,10.1000/000033
cord_000034,COVID-19 Research Paper 34: Virological Virological,This study investigates COVID-19 diagnosis using laboratory analysis. The findings suggest important implications for vaccine development.,"Author 0 Garcia, Author 1 Miller, Author 2 Miller",JAMA,2022-03-30,Research Square,False,pdf_34.json,pmc_34.json,https://example.com/paper/34,10.1000/000034
cord_000035,COVID-19 Research Paper 35: Epidemiological Mathematical Modeling,This study investigates COVID-19 prevention using statistical methods. The findings suggest important implications for treatment protocols.,Author 0 Brown,NEJM,2021-01-30,Research Square,True,,,https://example.com/paper/35,
cord_000036,COVID-19 Research Paper 36: Mathematical Modeling Virological,This study investigates COVID-19 symptoms using laboratory analysis. The findings suggest important implications for clinical practice.,"Author 0 Smith, Author 1 Miller, Author 2 Smith, Author 3 Jones, Author 4 Smith, Author 5 Garcia",PNAS,2021-05-27,medRxiv,True,pdf_36.json,,https://example.com/paper/36,
cord_000037,COVID-19 Research Paper 37: Preventive Therapeutic,,"Author 0 Williams, Author 1 Garcia, Author 2 Brown, Author 3 Williams, Author 4 Smith",Clinical Infectious Diseases,2020-12-20,bioRxiv,False,,pmc_37.json,https://example.com/paper/37,10.1000/000037
cord_000038,COVID-19 Research Paper 38: Mathematical Modeling Therapeutic,This study investigates COVID-19 symptoms using machine learning. The findings suggest important implications for public health policy.,"Author 0 Miller, Author 1 Davis, Author 2 Johnson, Author 3 Brown, Author 4 Miller, Author 5 Jones",Journal of Medical Virology,2021-02-09,bioRxiv,False,,,https://example.com/paper/38,
cord_000039,COVID-19 Research Paper 39: Virological Epidemiological,This study investigates COVID-19 diagnosis using clinical data. The findings suggest important implications for public health policy.,"Author 0 Williams, Author 1 Williams, Author 2 Garcia, Author 3 Johnson",Journal of Medical Virology,2021-07-29,WHO,False,pdf_39.json,,https://example.com/paper/39,10.1000/000039
cord_000040,COVID-19 Research Paper 40: Diagnostic Virological,This study investigates COVID-19 epidemiology using clinical data. The findings suggest important implications for public health policy.,"Author 0 Smith, Author 1 Miller, Author 2 Jones, Author 3 Johnson",PLOS ONE,2022-03-15,Research Square,False,pdf_40.json,pmc_40.json,https://example.com/paper/40,10.1000/000040
cord_000041,COVID-19 Research Paper 41: Diagnostic Mathematical Modeling,This study investigates COVID-19 prevention using epidemiological models. The findings suggest important implications for clinical practice.,"Author 0 Miller, Author 1 Williams, Author 2 Williams, Author 3 Davis",The Lancet,2020-07-29,bioRxiv,False,,,https://example.com/paper/41,
cord_000042,COVID-19 Research Paper 42: Therapeutic Epidemiological,This study investigates COVID-19 transmission using epidemiological models. The findings suggest important implications for public health policy.,"Author 0 Brown, Author 1 Davis, Author 2 Miller, Author 3 Brown, Author 4 Brown",Nature Medicine,2021-09-30,WHO,True,pdf_42.json,,https://example.com/paper/42,10.1000/000042
cord_000043,COVID-19 Research Paper 43: Mathematical Modeling Diagnostic,,"Author 0 Johnson, Author 1 Jones",NEJM,2020-12-05,bioRxiv,False,pdf_43.json,,https://example.com/paper/43,10.1000/000043
cord_000044,COVID-19 Research Paper 44: Clinical Clinical,This study investigates COVID-19 treatment using clinical data. The findings suggest important implications for treatment protocols.,"Author 0 Garcia, Author 1 Johnson, Author 2 Johnson, Author 3 Miller",Emerging Infectious Diseases,2021-02-25,WHO,False,,pmc_44.json,https://example.com/paper/44,10.1000/000044
cord_000045,COVID-19 Research Paper 45: Clinical Preventive,This study investigates COVID-19 epidemiology using statistical methods. The findings suggest important implications for public health policy.,"Author 0 Garcia, Author 1 Garcia, Author 2 Brown, Author 3 Garcia",Emerging Infectious Diseases,2022-09-26,bioRxiv,False,pdf_45.json,,https://example.com/paper/45,10.1000/000045
cord_000046,COVID-19 Research Paper 46: Public Health Therapeutic,This study investigates COVID-19 transmission using machine learning. The findings suggest important implications for treatment protocols.,"Author 0 Smith, Author 1 Jones, Author 2 Williams",PLOS ONE,2022-06-06,WHO,False,,,https://example.com/paper/46,
cord_000047,COVID-19 Research Paper 47: Clinical Therapeutic,This study investigates COVID-19 transmission using clinical data. The findings suggest important implications for vaccine development.,"Author 0 Davis, Author 1 Williams, Author 2 Davis",,2022-07-02,medRxiv,False,pdf_47.json,pmc_47.json,https://example.com/paper/47,
cord_000048,COVID-19 Research Paper 48: Mathematical Modeling Diagnostic,This study investigates COVID-19 diagnosis using laboratory analysis. The findings suggest important implications for public health policy.,Author 0 Brown,The Lancet,2022-05-17,bioRxiv,False,pdf_48.json,pmc_48.json,https://example.com/paper/48,
cord_000049,COVID-19 Research Paper 49: Mathematical Modeling Public Health,This study investigates COVID-19 diagnosis using statistical methods. The findings suggest important implications for clinical practice.,"Author 0 Garcia, Author 1 Williams",Nature Medicine,2021-07-10,Elsevier,True,pdf_49.json,,https://example.com/paper/49,10.1000/000049
cord_000050,COVID-19 Research Paper 50: Clinical Preventive,This study investigates COVID-19 transmission using clinical data. The findings suggest important implications for clinical practice.,"Author 0 Johnson, Author 1 Johnson, Author 2 Smith, Author 3 Brown, Author 4 Williams, Author 5 Jones",Science,2021-10-14,PubMed Central,True,,pmc_50.json,https://example.com/paper/50,10.1000/000050
cord_000051,COVID-19 Research Paper 51: Preventive Diagnostic,This study investigates COVID-19 symptoms using epidemiological models. The findings suggest important implications for vaccine development.,Author 0 Garcia,Nature Medicine,2020-08-08,Elsevier,True,pdf_51.json,pmc_51.json,https://example.com/paper/51,10.1000/000051
cord_000052,COVID-19 Research Paper 52: Virological Preventive,This study investigates COVID-19 treatment using laboratory analysis. The findings suggest important implications for treatment protocols.,"Author 0 Johnson, Author 1 Jones, Author 2 Davis, Author 3 Davis, Author 4 Smith, Author 5 Garcia",The Lancet,2022-02-23,WHO,False,,pmc_52.json,https://example.com/paper/52,10.1000/000052
cord_000053,COVID-19 Research Paper 53: Clinical Therapeutic,This study investigates COVID-19 transmission using laboratory analysis. The findings suggest important implications for treatment protocols.,"Author 0 Brown, Author 1 Brown",Nature Medicine,2022-05-29,medRxiv,False,,,https://example.com/paper/53,10.1000/000053
cord_000054,COVID-19 Research Paper 54: Therapeutic Mathematical Modeling,This study investigates COVID-19 prevention using machine learning. The findings suggest important implications for clinical practice.,"Author 0 Jones, Author 1 Davis, Author 2 Williams, Author 3 Smith, Author 4 Miller",The Lancet,2021-02-13,Elsevier,False,pdf_54.json,,https://example.com/paper/54,10.1000/000054
cord_000055,COVID-19 Research Paper 55: Mathematical Modeling Virological,This study investigates COVID-19 epidemiology using epidemiological models. The findings suggest important implications for vaccine development.,"Author 0 Smith, Author 1 Jones, Author 2 Williams, Author 3 Smith, Author 4 Jones",The Lancet,2021-12-23,medRxiv,False,pdf_55.json,,https://example.com/paper/55,
cord_000056,COVID-19 Research Paper 56: Diagnostic Epidemiological,This study investigates COVID-19 epidemiology using clinical data. The findings suggest important implications for public health policy.,"Author 0 Jones, Author 1 Smith",NEJM,2022-02-04,bioRxiv,True,,pmc_56.json,https://example.com/paper/56,
cord_000057,COVID-19 Research Paper 57: Mathematical Modeling Public Health,This study investigates COVID-19 transmission using statistical methods. The findings suggest important implications for treatment protocols.,"Author 0 Smith, Author 1 Johnson, Author 2 Miller, Author 3 Jones",PNAS,2020-05-11,PubMed Central,True,pdf_57.json,,https://example.com/paper/57,10.1000/000057
cord_000058,COVID-19 Research Paper 58: Virological Preventive,This study investigates COVID-19 prevention using machine learning. The findings suggest important implications for treatment protocols.,"Author 0 Garcia, Author 1 Johnson, Author 2 Smith, Author 3 Jones, Author 4 Miller, Author 5 Brown",Nature Medicine,2022-07-09,bioRxiv,True,,,https://example.com/paper/58,
cord_000059,COVID-19 Research Paper 59: Diagnostic Epidemiological,This study investigates COVID-19 transmission using clinical data. The findings suggest important implications for clinical practice.,"Author 0 Johnson, Author 1 Garcia, Author 2 Davis, Author 3 Johnson",Emerging Infectious Diseases,2020-12-08,Research Square,False,pdf_59.json,pmc_59.json,https://example.com/paper/59,10.1000/000059
cord_000060,COVID-19 Research Paper 60: Public Health Diagnostic,This study investigates COVID-19 transmission using statistical methods. The findings suggest important implications for treatment protocols.,"Author 0 Brown, Author 1 Davis",The Lancet,2020-03-10,Research Square,True,,,https://example.com/paper/60,10.1000/000060
cord_000061,COVID-19 Research Paper 61: Public Health Diagnostic,This study investigates COVID-19 epidemiology using laboratory analysis. The findings suggest important implications for public health policy.,"Author 0 Smith, Author 1 Smith, Author 2 Brown, Author 3 Jones, Author 4 Garcia",Clinical Infectious Diseases,2022-11-13,PubMed Central,True,,,https://example.com/paper/61,10.1000/000061
cord_000062,COVID-19 Research Paper 62: Clinical Virological,This study investigates COVID-19 diagnosis using clinical data. The findings suggest important implications for clinical practice.,"Author 0 Miller, Author 1 Williams, Author 2 Smith, Author 3 Garcia",JAMA,2021-06-02,bioRxiv,True,pdf_62.json,,https://example.com/paper/62,10.1000/000062
cord_000063,COVID-19 Research Paper 63: Clinical Mathematical Modeling,This study investigates COVID-19 symptoms using machine learning. The findings suggest important implications for treatment protocols.,"Author 0 Garcia, Author 1 Garcia, Author 2 Jones, Author 3 Brown, Author 4 Jones, Author 5 Smith",Nature,2022-04-19,Elsevier,False,,pmc_63.json,https://example.com/paper/63,
cord_000064,COVID-19 Research Paper 64: Mathematical Modeling Public Health,This study investigates COVID-19 treatment using clinical data. The findings suggest important implications for public health policy.,"Author 0 Jones, Author 1 Miller, Author 2 Smith, Author 3 Jones, Author 4 Brown, Author 5 Williams",JAMA,2021-08-24,medRxiv,True,pdf_64.json,,https://example.com/paper/64,
cord_000065,COVID-19 Research Paper 65: Virological Clinical,This study investigates COVID-19 epidemiology using laboratory analysis. The findings suggest important implications for public health policy.,"Author 0 Miller, Author 1 Williams, Author 2 Johnson",The Lancet,2022-12-22,Research Square,True,pdf_65.json,pmc_65.json,https://example.com/paper/65,10.1000/000065
cord_000066,COVID-19 Research Paper 66: Mathematical Modeling Mathematical Modeling,This study investigates COVID-19 symptoms using laboratory analysis. The findings suggest important implications for public health policy.,"Author 0 Miller, Author 1 Brown, Author 2 Miller, Author 3 Brown, Author 4 Williams, Author 5 Miller",The Lancet,2021-12-22,WHO,False,,,https://example.com/paper/66,10.1000/000066
cord_000067,COVID-19 Research Paper 67: Clinical Therapeutic,This study investigates COVID-19 symptoms using machine learning. The findings suggest important implications for clinical practice.,"Author 0 Garcia, Author 1 Davis, Author 2 Williams",PLOS ONE,2022-03-26,medRxiv,True,,,https://example.com/paper/67,
cord_000068,COVID-19 Research Paper 68: Clinical Public Health,This study investigates COVID-19 epidemiology using statistical methods. The findings suggest important implications for public health policy.,"Author 0 Williams, Author 1 Brown",Clinical Infectious Diseases,2020-03-02,medRxiv,False,pdf_68.json,pmc_68.json,https://example.com/paper/68,10.1000/000068
cord_000069,COVID-19 Research Paper 69: Public Health Epidemiological,This study investigates COVID-19 treatment using epidemiological models. The findings suggest important implications for clinical practice.,"Author 0 Jones, Author 1 Williams",PNAS,2020-08-22,WHO,False,,pmc_69.json,https://example.com/paper/69,10.1000/000069
cord_000070,COVID-19 Research Paper 70: Therapeutic Diagnostic,This study investigates COVID-19 diagnosis using statistical methods. The findings suggest important implications for vaccine development.,"Author 0 Williams, Author 1 Williams, Author 2 Garcia, Author 3 Johnson",NEJM,2021-01-03,Research Square,False,,pmc_70.json,https://example.com/paper/70,10.1000/000070
cord_000071,COVID-19 Research Paper 71: Virological Public Health,This study investigates COVID-19 prevention using epidemiological models. The findings suggest important implications for public health policy.,"Author 0 Johnson, Author 1 Williams, Author 2 Garcia, Author 3 Williams, Author 4 Smith",Science,2021-10-22,WHO,True,pdf_71.json,,https://example.com/paper/71,10.1000/000071
cord_000072,COVID-19 Research Paper 72: Therapeutic Epidemiological,This study investigates COVID-19 diagnosis using laboratory analysis. The findings suggest important implications for public health policy.,"Author 0 Miller, Author 1 Miller, Author 2 Jones",The Lancet,2022-05-29,Research Square,False,,pmc_72.json,https://example.com/paper/72,
